match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
548318,Chennai Super Kings,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
548319,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab
548320,Kolkata Knight Riders,Rajasthan Royals,bat,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
548322,Pune Warriors,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors
548323,Kings XI Punjab,Kolkata Knight Riders,field,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
548324,Rajasthan Royals,Rajasthan Royals,bat,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
548325,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
548326,Rajasthan Royals,Deccan Chargers,bat,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals
548327,Royal Challengers Bangalore,Pune Warriors,bat,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore
548328,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders
548321,Delhi Daredevils,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils
548330,Chennai Super Kings,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors
548331,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore
548332,Chennai Super Kings,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
548333,Pune Warriors,Delhi Daredevils,field,Feroz Shah Kotla,Pune Warriors,Delhi Daredevils
548334,Kings XI Punjab,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Kings XI Punjab
548335,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,Deccan Chargers,Kolkata Knight Riders
548336,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals
548337,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils
548339,Mumbai Indians,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
548341,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium,Deccan Chargers,Pune Warriors
548342,Delhi Daredevils,Mumbai Indians,field,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians
548343,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings
548344,Kolkata Knight Riders,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore
548345,Delhi Daredevils,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals
548346,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Deccan Chargers,Mumbai Indians
548347,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
548348,Deccan Chargers,Deccan Chargers,bat,Barabati Stadium,Deccan Chargers,Pune Warriors
548349,Delhi Daredevils,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils
548350,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
548351,Mumbai Indians,Mumbai Indians,bat,Subrata Roy Sahara Stadium,Mumbai Indians,Pune Warriors
548352,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers
548353,Kolkata Knight Riders,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Pune Warriors
548354,Rajasthan Royals,Rajasthan Royals,bat,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab
548355,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Chennai Super Kings,Mumbai Indians
