matchId,team1,team2,tossWinner,venue,team1_runs,team2_runs,winner,team1_win
7,West Indies,Australia,Australia,"Beausejour Stadium, Gros Islet",150,153,Australia,0
700,India,West Indies,West Indies,"Sabina Park, Kingston",190,194,West Indies,0
701,Sri Lanka,Pakistan,Sri Lanka,Gaddafi Stadium,165,101,Sri Lanka,1
703,South Africa,England,South Africa,Zahur Ahmed Chowdhury Stadium,196,193,South Africa,1
705,India,Afghanistan,India,"Zayed Cricket Stadium, Abu Dhabi",210,144,India,1
706,Afghanistan,Pakistan,Pakistan,Sharjah Cricket Stadium,137,138,Pakistan,0
709,West Indies,Pakistan,Pakistan,National Stadium,153,154,Pakistan,0
71,Bangladesh,West Indies,Bangladesh,"Shere Bangla National Stadium, Mirpur",211,175,Bangladesh,1
710,India,Bangladesh,Bangladesh,Arun Jaitley Stadium,148,154,Bangladesh,0
712,Ireland,Afghanistan,Afghanistan,Greater Noida Sports Complex Ground,165,171,Afghanistan,0
717,England,New Zealand,England,Eden Park,184,152,England,1
718,India,Australia,India,Shere Bangla National Stadium,159,86,India,1
725,Zimbabwe,Australia,Australia,Harare Sports Club,151,154,Australia,0
726,Pakistan,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",122,99,Pakistan,1
730,South Africa,Australia,South Africa,Carrara Oval,108,87,South Africa,1
733,Pakistan,South Africa,South Africa,Dubai International Cricket Stadium,98,99,South Africa,0
734,New Zealand,India,India,Eden Park,132,135,India,0
737,Pakistan,South Africa,Pakistan,Trent Bridge,149,142,Pakistan,1
738,Sri Lanka,India,India,"R.Premadasa Stadium, Khettarama",152,153,India,0
740,South Africa,Australia,Australia,"Brisbane Cricket Ground, Woolloongabba",157,161,Australia,0
743,South Africa,New Zealand,New Zealand,Buffalo Park,165,169,New Zealand,0
744,Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,166,143,Zimbabwe,1
745,Zimbabwe,Ireland,Ireland,"Bready Cricket Club, Magheramason",132,134,Ireland,0
748,India,England,England,Old Trafford,165,169,England,0
749,West Indies,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",167,146,West Indies,1
750,New Zealand,West Indies,New Zealand,Bay Oval,243,124,New Zealand,1
751,England,Australia,Australia,The Rose Bowl,145,146,Australia,0
755,England,India,India,Narendra Modi Stadium,164,166,India,0
756,West Indies,Afghanistan,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,164,134,West Indies,1
759,Pakistan,Bangladesh,Pakistan,Eden Gardens,201,146,Pakistan,1
764,West Indies,South Africa,South Africa,New Wanderers Stadium,205,208,South Africa,0
767,New Zealand,Bangladesh,New Zealand,Shere Bangla National Stadium,204,189,New Zealand,1
768,New Zealand,Australia,New Zealand,Hagley Oval,184,131,New Zealand,1
77,England,Pakistan,England,Dubai International Cricket Stadium,150,112,England,1
771,Pakistan,Australia,Australia,Manuka Oval,150,151,Australia,0
772,West Indies,South Africa,South Africa,Dubai International Cricket Stadium,143,144,South Africa,0
776,Netherlands,Ireland,Netherlands,Himachal Pradesh Cricket Association Stadium,59,47,Netherlands,1
780,West Indies,Australia,West Indies,"Kensington Oval, Bridgetown",160,146,West Indies,1
781,New Zealand,Ireland,New Zealand,Trent Bridge,198,115,New Zealand,1
783,England,South Africa,England,Edgbaston,118,90,England,1
784,West Indies,India,India,"MA Chidambaram Stadium, Chepauk",181,182,India,0
786,South Africa,England,England,Boland Park,146,147,England,0
788,England,India,India,Subrata Roy Sahara Stadium,157,158,India,0
789,New Zealand,Bangladesh,New Zealand,Bay Oval,194,167,New Zealand,1
79,India,Bangladesh,India,Shere Bangla National Stadium,166,121,India,1
790,Australia,Pakistan,Australia,Dubai International Cricket Stadium,168,74,Australia,1
791,West Indies,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,129,130,Sri Lanka,0
792,Sri Lanka,New Zealand,New Zealand,Pallekele International Cricket Stadium,161,165,New Zealand,0
793,Zimbabwe,Ireland,Ireland,"Castle Avenue, Dublin",152,153,Ireland,0
794,New Zealand,India,New Zealand,New Wanderers Stadium,190,180,New Zealand,1
797,South Africa,New Zealand,New Zealand,Westpac Stadium,147,148,New Zealand,0
801,Australia,Sri Lanka,Sri Lanka,"Simonds Stadium, South Geelong",173,176,Sri Lanka,0
806,Australia,Sri Lanka,Australia,"Kensington Oval, Bridgetown",168,87,Australia,1
807,Afghanistan,India,India,"Beausejour Stadium, Gros Islet",115,116,India,0
81,Bangladesh,India,India,Saurashtra Cricket Association Stadium,153,154,India,0
810,Pakistan,Zimbabwe,Pakistan,Harare Sports Club,136,121,Pakistan,1
812,Zimbabwe,Bangladesh,Bangladesh,Shere Bangla National Stadium,131,136,Bangladesh,0
813,New Zealand,England,England,Westpac Stadium,139,143,England,0
818,Pakistan,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",172,151,Pakistan,1
819,Afghanistan,Ireland,Afghanistan,Greater Noida Sports Complex Ground,233,205,Afghanistan,1
820,Sri Lanka,Pakistan,Pakistan,R Premadasa Stadium,172,174,Pakistan,0
821,Afghanistan,Ireland,Afghanistan,Dubai International Cricket Stadium,139,126,Afghanistan,1
823,England,South Africa,South Africa,Newlands,134,135,South Africa,0
824,West Indies,Ireland,West Indies,"Sabina Park, Kingston",96,85,West Indies,1
829,South Africa,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",163,135,South Africa,1
83,West Indies,England,England,Trent Bridge,172,173,England,0
832,India,England,India,Kingsmead,218,200,India,1
837,Pakistan,Australia,Australia,Harare Sports Club,116,117,Australia,0
84,New Zealand,Australia,Australia,Eden Park,243,245,Australia,0
843,Ireland,Netherlands,Netherlands,Hazelaarweg,158,159,Netherlands,0
845,Bangladesh,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",190,119,Bangladesh,1
848,Australia,West Indies,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",141,142,West Indies,0
85,India,Australia,India,Melbourne Cricket Ground,184,157,India,1
850,India,New Zealand,India,Greenfield International Stadium,67,61,India,1
854,Sri Lanka,England,Sri Lanka,Pallekele International Cricket Stadium,169,150,Sri Lanka,1
856,West Indies,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,209,153,West Indies,1
858,Zimbabwe,India,India,Harare Sports Club,99,103,India,0
871,Afghanistan,Bangladesh,Afghanistan,Rajiv Gandhi International Cricket Stadium,145,144,Afghanistan,1
872,Australia,Pakistan,Australia,Melbourne Cricket Ground,127,125,Australia,1
873,West Indies,Pakistan,Pakistan,Sheikh Zayed Stadium,103,108,Pakistan,0
875,Afghanistan,Ireland,Afghanistan,"Bready Cricket Club, Magheramason",160,144,Afghanistan,1
877,Sri Lanka,Australia,Australia,Dubai International Cricket Stadium,154,155,Australia,0
879,New Zealand,India,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",126,79,New Zealand,1
884,Zimbabwe,New Zealand,New Zealand,Harare Sports Club,123,127,New Zealand,0
886,South Africa,Australia,South Africa,SuperSport Park,156,139,South Africa,1
888,West Indies,England,England,Dubai International Cricket Stadium,55,56,England,0
890,India,South Africa,India,The Wanderers Stadium,203,175,India,1
891,Australia,Sri Lanka,Australia,Adelaide Oval,233,99,Australia,1
896,West Indies,England,West Indies,Pallekele International Cricket Stadium,179,164,West Indies,1
9,India,England,India,M Chinnaswamy Stadium,202,127,India,1
90,Australia,South Africa,Australia,The Wanderers Stadium,196,89,Australia,1
